"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1995 <= Year >= 2000""]"																																						
	1999	6	15	20	42	5.9			"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO"	18.386	-97.436	70	7		20	1			200	3	226.8	4			2000	4	20	1			200	3	226.8	4			2000	4
	1999	6	21	17	43	4.5			"MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO"	18.324	-101.539	69	6.3									3			1300	4								3			1300	4
	1999	7	11	14	14	16.5			"GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W"	15.782	-88.33	10	6.7		2	1			40	1		2	7	1	7	1	2	1			40	1		2	7	1	4	1
	1999	7	22	10	42	11.7			"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR"	21.544	91.895	10	4.2		6	1			200	3		3	700	3			6	1			200	3		3	700	3		
	1999	8	17	0	1	39.1	2326		"TURKEY:  ISTANBUL, KOCAELI, SAKARYA"	40.76	29.97	13	7.6	10	17118	4			50000	4	20000	4			73342	4	17118	4			50000	4	20000	4			73342	4
	1999	8	31	8	10	49.5			"TURKEY:  IZMIT"	40.711	29.949	10	5.2		1	1			166	3		1					1	1			166	3		1				
	1999	9	7	11	56	49.3			"GREECE:  ATHENS"	38.119	23.605	10	6	9	143	3			1600	4	4200	4	53000	4			143	3			1600	4	4200	4	53000	4		
	1999	9	13	11	55	28.1			"TURKEY:  ADAPAZARI-GOLUCK-KOCAELI"	40.709	30.045	13	5.8		7	1			422	3		1					7	1			422	3		1				
	1999	9	20	17	47	18.4			"TAIWAN:  NANTOU, TAICHUNG, TAIZHONG"	23.772	120.982	33	7.7	10	2297	4			8700	4	14000	4	8200		82000	4	2297	4			8700	4	14000	4			82000	4
	1999	9	25	23	52	48.6			"TAIWAN:  CENTRAL"	23.738	121.158	17	6.5			1						1						1						1				
	1999	9	30	16	31	15.6			"MEXICO:  OAXACA"	16.059	-96.931	61	7.5	8	35	1			215	3	164.8	4			2000	4	35	1			215	3	164.8	4			2000	4
	1999	10	16	9	46	44.1			"CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS"	34.594	-116.271		7.2	7					4	1		1									4	1		1				
	1999	10	22	2	18	58.5			"TAIWAN:  CHIA-I"	23.445	120.506	33	5.9	6	1	1			254	3	0.786	1	15	1			1	1			254	3	0.786	1	15	1		
	1999	10	31	13	27	42.4			"PERU:  CHUSCHI, CANGALLo, HUANCAPI"	-13.64	-74.43	62	4.4						30	1		3	210	3	1100	4					30	1		3	210	3	1100	4
	1999	11	1	13	25	16.5			"CHINA:  SHANXI:  NORTHEASTERN"	39.899	113.983	10	5.3						4	1	44	4	6000	4							4	1	44	4	6000	4		
	1999	11	11	14	41	25.6			"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK"	40.744	30.266	22	5.7		2	1			171	3							2	1			171	3						
